Source,Plotpy,API changes
guiqwt.cross_section.get_plot_average_x_section,plotpy.gui.widgets.cross_section.get_plot_average_x_section
guiqwt.widgets.fliprotate.MultipleFlipRotateWidget,plotpy.gui.widgets.fliprotate.MultipleFlipRotateWidget
guiqwt.interfaces.IVoiImageItemType,plotpy.gui.widgets.interfaces.IVoiImageItemType
guiqwt.tools.ObliqueRectangleTool,plotpy.gui.widgets.tools.ObliqueRectangleTool
guiqwt.tools.HCursorTool,plotpy.gui.widgets.tools.HCursorTool
guiqwt.pyplot.errorbar,plotpy.gui.widgets.pyplot.errorbar
guiqwt.tools.ColormapTool,plotpy.gui.widgets.tools.ColormapTool
guiqwt.cross_section.XCrossSection,plotpy.gui.widgets.cross_section.XCrossSection
guiqwt.io._imread_dcm,plotpy.gui.widgets.io._imread_dcm
guiqwt.events.setup_standard_tool_filter,plotpy.gui.widgets.events.setup_standard_tool_filter
guiqwt.image.get_image_from_plot,plotpy.gui.widgets.items.image.get_image_from_plot
guiqwt.tools.ReverseYAxisTool,plotpy.gui.widgets.tools.ReverseYAxisTool
guiqwt.tools.ContrastPanelTool,plotpy.gui.widgets.tools.ContrastPanelTool
guiqwt.styles.style_generator,plotpy.gui.widgets.styles.style_generator
guiqwt.io.scale_data_to_dtype,plotpy.gui.widgets.io.scale_data_to_dtype
guiqwt.tools.SegmentTool,plotpy.gui.widgets.tools.SegmentTool
guiqwt.cross_section.XCrossSectionItem,plotpy.gui.widgets.cross_section.XCrossSectionItem
guiqwt.styles.BrushStyleParam,plotpy.gui.widgets.styles.BrushStyleParam
guiqwt.tools.SelectPointTool,plotpy.gui.widgets.tools.SelectPointTool
guiqwt.tools.ImageStatsRectangle,plotpy.gui.widgets.tools.ImageStatsRectangle
guiqwt.styles.Histogram2DParam_MS,plotpy.gui.widgets.styles.Histogram2DParam_MS
guiqwt.annotations.AnnotatedPoint,plotpy.gui.widgets.items.annotations.AnnotatedPoint
guiqwt.io._imwrite_pil,plotpy.gui.widgets.io._imwrite_pil
guiqwt.styles.LineStyleItemWidget,plotpy.gui.widgets.styles.LineStyleItemWidget
guiqwt.cross_section.CrossSectionWidget,plotpy.gui.widgets.cross_section.CrossSectionWidget
guiqwt.tools.ImageStatsTool,plotpy.gui.widgets.tools.ImageStatsTool
guiqwt.image.get_items_in_rectangle,plotpy.gui.widgets.image.get_items_in_rectangle
guiqwt.pyplot.hist,plotpy.gui.widgets.pyplot.hist
guiqwt.pyplot.figure,plotpy.gui.widgets.pyplot.figure
guiqwt.events.UndoMovePoint,plotpy.gui.widgets.events.UndoMovePoint
guiqwt.pyplot.grid,plotpy.gui.widgets.pyplot.grid
guiqwt.styles.ImageAxesParam,plotpy.gui.widgets.styles.ImageAxesParam
guiqwt.cross_section.CrossSectionPlot,plotpy.gui.widgets.cross_section.CrossSectionPlot
guiqwt.tools.AspectRatioParam,plotpy.gui.widgets.tools.AspectRatioParam
guiqwt.curve._transform,plotpy.gui.widgets.items.curve._transform
guiqwt.styles.RawImageParam_MS,plotpy.gui.widgets.styles.RawImageParam_MS
guiqwt.styles.LineStyleParam,plotpy.gui.widgets.styles.LineStyleParam
guiqwt.styles.HistogramParam,plotpy.gui.widgets.styles.HistogramParam
